Position, Velocity, Delta Time, 
72.800669, 2.080948, 50, 
72.897101, 1.928638, 50, 
72.985763, 1.773246, 50, 
73.066505, 1.614831, 50, 
73.139180, 1.453507, 50, 
73.203652, 1.289434, 50, 
73.259793, 1.122826, 50, 
73.307674, 0.957617, 50, 
73.347745, 0.801421, 50, 
73.380658, 0.658260, 50, 
73.407085, 0.528544, 50, 
73.427716, 0.412615, 50, 
73.443253, 0.310752, 50, 
73.454412, 0.223170, 50, 
73.461913, 0.150032, 50, 
73.466486, 0.091449, 50, 
73.468861, 0.047495, 50, 
73.469771, 0.018213, 50, 
73.469952, 0.003621, 50, 
73.469952, 0.000000, 50, 
